first_name,last_name,email,password,player_rank
Aretha,Bodle,aretha_bodle@hotmail.com,yBZ^wK^lE#,284
Bettina,Diciano,bdiciano@diciano.com.au,nUohysXzN^I^,105
Omega,Mangino,omega.mangino@hotmail.com,@R8Johv2Y!,267
Dana,Vock,dana_vock@yahoo.com,&a*bPBic8J&,27
Naomi,Tuamoheloa,naomi@yahoo.com,jhiGwwf^D@,106
Luis,Yerry,luis@hotmail.com,kW7ehObYC&,474
Dominga,Barchacky,dominga.barchacky@hotmail.com,tDZ7!7K2HWU!,200
Isreal,Calizo,isreal_calizo@gmail.com,&Y4c1uwOJ(,19
Myrtie,Korba,mkorba@hotmail.com,ZWCivA#&NG#,165
Jodi,Naifeh,jodi@hotmail.com,lLAW%*WY19F@,411
Pearly,Hedstrom,pearly@gmail.com,GnE#Hen*HeC#,156
Aileen,Menez,aileen_menez@menez.net.au,)ngknmhb5J@,325
Glory,Carlo,glory_carlo@gmail.com,DyfWlidk%JN$,224
Kathrine,Francoise,kathrine@yahoo.com,f%ze8uy4Q(,101
Domingo,Mckale,domingo_mckale@mckale.net.au,PPgj2CiiV*,60
Julian,Laprade,jlaprade@laprade.net.au,Y!q9S!@!YO&,313
Marylou,Lofts,marylou_lofts@lofts.com.au,sYnXarTKI&,265
Louis,Brueck,louis.brueck@brueck.net.au,!0HWxcLcYU(,116
Ellsworth,Guenther,eguenther@hotmail.com,@OK8l%8VVkV$,351
Wilburn,Lary,wlary@lary.net.au,JVCk*F4$Z),92
Arlie,Borra,arlie.borra@gmail.com,9s7NHGMopC&,310
Alysa,Lehoux,alysa@hotmail.com,p#qilm$ItT(,172
Marilynn,Herrera,marilynn.herrera@herrera.net.au,ZoeAs2KsJ!,432
Scot,Jarva,scot.jarva@jarva.com.au,jD9$fM!$kcO$,129
Adelaide,Ender,aender@gmail.com,@3vLCm7O8iY_,138
Jackie,Borchelt,jackie_borchelt@hotmail.com,&I1Vb6KYR#,359
Carli,Bame,carli@yahoo.com,MJluTYe119L(,83
Coletta,Thro,coletta.thro@thro.net.au,4h%p(qwMmK(,384
Katheryn,Lamers,katheryn_lamers@gmail.com,QzN1r!5tS(,401
Santos,Wisenbaker,swisenbaker@wisenbaker.net.au,EVhti4Dq*G*,49
Kimberely,Weyman,kweyman@weyman.com.au,#VZhW9geM@I^,31
Earlean,Suffern,earlean.suffern@suffern.net.au,s0T5woX6N^,89
Dannette,Heimbaugh,dannette@gmail.com,ZllZ^I*zuKH%,302
Odelia,Hutchin,odelia.hutchin@hutchin.com.au,Gb#P&1YMR*,124
Lina,Schwiebert,lina@yahoo.com,_kCxIkk3WZ_,161
Fredric,Johanningmeie,fredric@hotmail.com,bGnGFGuxlZY!,380
Alfreda,Delsoin,adelsoin@yahoo.com,W1ZznRv#JE^,442
Bernadine,Elamin,bernadine_elamin@yahoo.com,!WJkPGIdfmH(,379
Ming,Thaxton,mthaxton@gmail.com,0w!kHNPiW^,112
Gracia,Pecot,gpecot@hotmail.com,q0J2&k2LmX@,378
Yuette,Metevelis,yuette.metevelis@metevelis.net.au,tx9sjMX00RW*,458
Yuriko,Kazarian,yuriko_kazarian@gmail.com,y^Wuf^&GO@W*,257
Hyman,Hegeman,hyman@hotmail.com,9@Oe)SH_P@,32
Linette,Summerfield,linette.summerfield@hotmail.com,XIy2m50yE9O*,226
Jospeh,Couzens,jospeh.couzens@couzens.com.au,uT(ETKl9RWY!,347
Anna,Ovit,anna.ovit@hotmail.com,Tv5V9RbfuF@,16
Shawnta,Woodhams,shawnta@woodhams.com.au,iV0p7nAQW&,65
Ettie,Luckenbach,ettie@yahoo.com,046wRE4_L%,3
Chara,Leveston,cleveston@gmail.com,WK#DHxidI#,207
Lauran,Huntsberger,lhuntsberger@huntsberger.net.au,b9Y3UN0vQY_,34
Pansy,Todesco,pansy_todesco@gmail.com,d&6)#3jQyV#,192
Georgeanna,Silverstone,georgeanna@silverstone.net.au,fFy5a5x3BGX(,368
Jesus,Liversedge,jesus.liversedge@hotmail.com,8M_#toJcQ%,277
Jamey,Tetter,jamey.tetter@gmail.com,7P@M(PtzgfY&,322
Alberta,Motter,alberta_motter@hotmail.com,%bGbTFi@KV_,149
Ronald,Grube,ronald.grube@yahoo.com,YiNUloudnV_,480
Tamala,Hickie,tamala_hickie@yahoo.com,3@Eve2O7A#,216
Gerry,Mohrmann,gerry_mohrmann@mohrmann.net.au,^sl%eelZI&,309
Isaiah,Kueter,ikueter@kueter.com.au,SG$ip6I7pPQ^,245
Magnolia,Overbough,moverbough@overbough.com.au,6IPX$8%2U%,210
Ngoc,Guglielmina,ngoc_guglielmina@hotmail.com,)rrLb0D1ibW_,176
Julene,Lauretta,julene.lauretta@gmail.com,LHv@$hN2$WH),2
Magda,Lindbeck,magda_lindbeck@yahoo.com,(CpbZK*Io0K$,331
Shantell,Lizama,shantell.lizama@gmail.com,HVGO8AIdQAN#,30
Audria,Piccinich,audria.piccinich@gmail.com,nNdJR310WeY%,412
Nickole,Derenzis,nderenzis@hotmail.com,@UH1hg0DhT&,133
Grover,Reynolds,grover.reynolds@gmail.com,QSXH8VTSRZ@,111
Rocco,Bergstrom,rocco@yahoo.com,td#hEm!IQ_,356
Ethan,Quintero,ethan_quintero@quintero.com.au,62DQmWD3E),75
Glynda,Sanzenbacher,glynda@sanzenbacher.com.au,u#%fGIE!O!,290
Yolande,Scrimsher,yolande@yahoo.com,SIapnQECm&Z^,419
Twanna,Sieber,twanna@yahoo.com,(nYm@HLsmE@,167
Rosenda,Petteway,rosenda@gmail.com,B(k6#UkN_K%,259
Lacey,Francis,lacey.francis@francis.net.au,4wVDqKNAaF!,253
Cordie,Meikle,cordie.meikle@hotmail.com,_y&7&0bpC),429
Annalee,Graleski,annalee.graleski@hotmail.com,fdP3re32ST&,10
Dana,Ladeau,dana@ladeau.net.au,xTeaJ4*afAD*,466
Wai,Raddle,wai.raddle@raddle.com.au,9Hcjzlgfs7F&,287
Johana,Conquest,johana@conquest.net.au,peTa5p2OZB#,142
Tomas,Fults,tomas_fults@fults.net.au,c2u0KijlKV_,326
Karon,Etzler,karon@hotmail.com,ZwR9@m35zC_,306
Delbert,Houben,delbert.houben@hotmail.com,dDxJJDwQF(,40
Ashleigh,Rimmer,ashleigh.rimmer@hotmail.com,tNi#B6#hW@,387
Nenita,Mckenna,nmckenna@yahoo.com,3nB&!3DkiW_,381
Micah,Shear,mshear@hotmail.com,03CHniHg5A),465
Stefany,Figueras,stefany@figueras.net.au,Y^no&wEkE!,126
Rene,Burnsworth,rene@burnsworth.net.au,*oTqNuaMBJ%,44
Cary,Orazine,cary.orazine@hotmail.com,lkc*mDLfJZ&,39
Micheal,Ocken,micheal.ocken@ocken.net.au,A9ypBeWYBC(,339
Frederick,Tamburello,frederick.tamburello@hotmail.com,65XmK2IWeS*,252
Burma,Noa,burma.noa@gmail.com,hVkAoq@P7F#,180
Cherry,Roh,cherry_roh@yahoo.com,^4T%w&xHU^,488
Gabriele,Frabotta,gabriele_frabotta@gmail.com,Ccv3tqGYU(,79
Clement,Chee,clement@hotmail.com,BGeWpH3DB6M),202
Beckie,Apodace,bapodace@gmail.com,XmdujlxEHG%,484
Catrice,Fowlkes,cfowlkes@hotmail.com,0Ax8NcQJ_Y*,405
Richelle,Remillard,richelle.remillard@remillard.net.au,WwsADur0F@,244
Cherri,Miccio,cherri_miccio@gmail.com,vnDUH0EQ76W@,404
Dorethea,Taketa,dtaketa@taketa.net.au,_q$c*6uNT!,286
Barb,Latina,blatina@hotmail.com,NMxQhLk1lpE%,125
Bettye,Meray,bmeray@yahoo.com,)%dMJ6Crp#J#,137
Sherrell,Sprowl,sherrell_sprowl@hotmail.com,RM#&3I8tO$,397
Ruth,Niglio,ruth.niglio@hotmail.com,CSi@ruY*^Z),122
Alva,Shoulders,alva@gmail.com,63@v7l^pZ#,174
Carri,Palaspas,carri_palaspas@palaspas.net.au,&svZU(Y_P&,323
Onita,Milbrandt,onita.milbrandt@milbrandt.com.au,69*#LspwA),193
Jessenia,Sarp,jsarp@hotmail.com,2TRLOioLU&,120
Tricia,Peressini,tperessini@yahoo.com,DSkpt7wi3J$,67
Stephaine,Manin,stephaine_manin@yahoo.com,cu^DexvGmU_,256
Florinda,Gudgel,fgudgel@gudgel.com.au,a%)L@W!zF&,255
Marsha,Farnham,marsha@farnham.com.au,%UTPnvOyaIK^,118
Josefa,Oakland,josefa_oakland@oakland.com.au,NM!sbtLOPF%,230
Deeann,Nicklous,deeann_nicklous@gmail.com,q%SPvglx&!Y&,220
Jeannetta,Vonstaden,jvonstaden@gmail.com,V5cvOu9)G!,215
Desmond,Amuso,desmond@hotmail.com,pg2g)mDV_A$,340
Trina,Bakey,tbakey@bakey.com.au,xIhGCJGT1N^,115
Ramonita,Picotte,ramonita_picotte@yahoo.com,bh5A#H*bBqB%,47
Temeka,Bodine,temeka.bodine@gmail.com,t(b6mwl$GG),314
Bea,Iida,bea_iida@iida.net.au,@Gs*VkH%F!,365
Soledad,Mockus,soledad_mockus@yahoo.com,5#4lPcC@O&,152
Margurite,Okon,margurite.okon@hotmail.com,,491
Artie,Saine,artie_saine@yahoo.com,,492
Major,Studwell,major@gmail.com,,493
Veronika,Buchauer,veronika.buchauer@buchauer.net.au,,494
Christene,Cisney,christene@hotmail.com,,495
Miles,Feldner,miles@hotmail.com,,496
Julio,Mikel,julio.mikel@mikel.net.au,,497
Aide,Ghera,aide.ghera@ghera.com.au,,498
Noelia,Brackett,noelia@brackett.net.au,,499
Lenora,Delacruz,lenora@delacruz.net.au,,500
Benjamin,Wilkinson,BDW@hillcrest.com,WASD1,501
Angel,Parra,TEST,TEST,502
Nicholas,Moran,TEST2,PASSWORD,503
w,w,w,w,504
test,test,test,test,505
DWAYNE,SMITH,YEP,YEPPPP,506
www,www,www,www,507
www,,www,www,508
aa,ww,tbakey@bakey.com.au,ww,509
w,w,w,w,510
w,w,tbakey@bakey.com.au,w,511
w,w,w,w,512
